id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Fuente
413,2.5,2.5,2.5,2.5,2.5,2.5,120,-71.77894425,-35.45633277,CIREN
414,2.5,2.5,2.5,2.5,2.5,NA,100,-71.85117182,-38.43876729,CIREN
416,2.5,2.5,2.5,2.5,2.5,2.5,120,-72.3764375,-40.35352116,CIREN
417,2.5,2.5,2.5,2.5,2.5,2.5,120,-70.78958051,-33.06158529,CIREN
418,29.6,29.6,29.6,NA,NA,NA,27,-72.89493984,-40.75462468,CIREN
419,2.5,2.5,2.5,2.5,2.5,NA,90,-72.95163704,-39.56876669,CIREN
420,21.7,21.7,21.7,NA,NA,NA,26,-71.2435823,-30.00284492,CIREN
421,2.5,2.5,2.5,2.5,2.5,2.5,145,-71.69725818,-36.45816616,CIREN
422,2.5,2.5,2.5,2.5,2.5,NA,100,-72.84863849,-38.05633419,CIREN
423,2.5,2.5,2.5,2.5,2.5,NA,90,-71.29048212,-33.62461713,CIREN
425,2.5,2.5,2.5,2.5,2.5,NA,100,-72.58299976,-37.46678259,CIREN
427,2.5,2.5,2.5,2.5,NA,NA,32,-72.18586756,-36.5153921,CIREN
428,16.2,16.2,16.2,NA,NA,NA,20,-71.74254054,-35.61670072,CIREN
431,2.5,2.5,2.5,2.5,NA,NA,54,-72.65961621,-39.75378898,CIREN
432,2.5,2.5,2.5,2.5,2.5,2.5,103,-72.10962906,-38.65989198,CIREN
433,2.5,2.5,2.5,2.5,2.5,NA,90,-71.45108164,-35.28856596,CIREN
434,2.5,2.5,2.5,2.5,2.5,NA,90,-70.88948583,-30.40401591,CIREN
435,2.5,2.5,2.5,2.5,2.5,NA,94,-72.13497419,-38.47041318,CIREN
436,2.5,2.5,2.5,2.5,2.5,NA,90,-71.00305357,-31.78823239,CIREN
437,2.5,2.5,2.5,2.5,2.5,2.5,120,-71.35522176,-33.9033487,CIREN
438,2.5,2.5,2.5,2.5,2.5,2.5,120,-72.78038106,-38.20284273,CIREN
442,2.5,2.5,2.5,2.5,2.5,NA,70,-70.75606843,-33.52830549,CIREN
443,2.5,2.5,2.5,2.5,NA,NA,57,-71.10623843,-34.0232731,CIREN
444,2.5,2.5,2.5,2.5,2.5,2.5,250,-72.83227221,-37.77982684,CIREN
446,2.5,2.5,2.5,0.9287750573719196,0.46492931876879806,NA,90,-72.35951685,-37.08540978,CIREN
447,2.5,2.5,2.5,2.5,2.5,NA,90,-71.04075133,-34.48298063,CIREN
450,2.5,2.5,2.5,2.5,2.5,NA,100,-71.56153732,-35.37461255,CIREN
451,2.5,2.5,2.5,2.5,NA,NA,50,-72.84131976,-37.16014928,CIREN
452,2.5,2.5,2.5,2.5,2.5,NA,85,-70.81246292,-33.34082102,CIREN
455,2.5,2.5,2.5,2.5,2.5,NA,64,-72.81027137,-38.76432051,CIREN
456,2.5,2.5,2.4625873146658566,1.074031723767937,NA,NA,45,-73.90044502,-42.70551655,CIREN
458,2.5,2.5,2.5,2.5,2.5,2.5,150,-72.57366417,-36.33879589,CIREN
459,2.5,2.5,2.5,2.5,2.5,2.5,120,-72.70199965,-36.04208877,CIREN
460,2.5,2.5,2.5,2.5,NA,NA,58,-71.05809682,-31.78942879,CIREN
461,2.5,2.5,2.5,2.5,2.5,2.5,138,-72.50696803,-37.5264825,CIREN
462,2.5,2.5,2.5,2.5,2.5,2.5,120,-70.66411046,-31.89666824,CIREN
463,2.5,2.5,2.5,2.5,2.5,2.5,120,-73.13164587,-39.14923818,CIREN
464,2.5,2.5,2.5,2.5,2.5,2.5,150,-72.95529816,-36.57434108,CIREN
466,2.5,2.5,2.5,2.5,2.5,2.5,150,-72.58756035,-37.09468753,CIREN
468,2.5,2.5,2.5,2.5,2.5,NA,90,-71.372951,-33.70375839,CIREN
469,2.5,2.5,2.5,2.5,2.5,2.5,120,-71.95958369,-36.40643587,CIREN
470,2.5,2.5,2.5,2.5,2.5,NA,70,-72.04915903,-36.55805088,CIREN
473,2.5,2.5,2.5,2.5,2.5,NA,72,-70.79219434,-34.11087699,CIREN
474,2.5,2.5,2.5,2.5,2.5,2.5,140,-72.1612373,-36.33366984,CIREN
475,2.5,2.5,2.5,2.5,2.5,2.5,120,-71.39858855,-33.98455711,CIREN
476,2.5,2.5,2.5,2.5,2.5,NA,100,-72.82179814,-38.01979204,CIREN
477,2.5,2.5,2.5,2.5,2.5,2.5,116,-71.89316034,-37.28127078,CIREN
478,2.5,2.5,2.5,2.5,2.5,2.5,110,-71.87978642,-36.59988981,CIREN
479,2.5,2.5,2.5,2.5,2.5,2.5,110,-71.80143005,-35.34224538,CIREN
480,2.5,2.5,2.5,2.5,2.5,NA,100,-71.3522359,-31.62884851,CIREN
481,2.5,2.5,2.5,2.5,2.5,2.5,200,-73.14994668,-39.7495806,CIREN
484,2.5,2.5,2.5,2.5,2.5,NA,80,-73.03569957,-39.70400108,CIREN
485,2.5,2.5,2.5,2.5,2.5,NA,91,-70.69985299,-33.84560716,CIREN
486,2.5,2.5,2.5,NA,NA,NA,24,-71.84323544,-35.71711149,CIREN
488,2.5,2.5,2.5,2.5,NA,NA,55,-72.31489251,-38.20753099,CIREN
489,2.5,2.5,2.5,2.5,2.5,NA,67,-70.70066238,-30.02253102,CIREN
490,2.5,2.5,2.5,2.5,NA,NA,50,-71.76476461,-36.00374688,CIREN
491,2.5,2.5,2.5,2.5,2.5,NA,100,-72.24372427,-39.30818982,CIREN
492,2.5,2.5,2.5,2.5,2.5,2.5,120,-71.3365836,-33.9731283,CIREN
494,2.5,2.5,2.5,2.5,2.5,NA,66,-72.33624165,-38.68419861,CIREN
496,2.5,2.5,2.5,2.5,2.5,2.5,120,-71.10636368,-33.80867287,CIREN
498,2.5,2.5,2.5,2.5,2.5,NA,70,-71.23733532,-30.07539074,CIREN
500,2.5,2.5,2.5,2.5,2.5,2.5,125,-71.97399254,-37.09995003,CIREN
501,2.5,2.5,2.5,2.5,NA,NA,51,-70.9839199,-34.47399892,CIREN
503,2.5,2.5,2.5,2.5,2.5,2.5,130,-71.97702191,-45.55663466,CIREN
504,2.5,2.5,2.5,2.5,2.5,NA,90,-71.71092801,-46.54208229,CIREN
505,2.5,2.5,2.5,2.5,2.5,2.5,108,-71.69060128,-46.53986255,CIREN
506,2.5,2.5,2.5,2.5,2.5,2.5,120,-71.99720798,-45.68302328,CIREN
507,2.5,2.5,2.5,2.5,2.5,2.5,105,-71.70411438,-45.93723751,CIREN
508,2.5,2.5,2.5,2.5,2.5,2.5,110,-71.93054899,-45.81292892,CIREN
509,2.5,2.5,2.5,2.5,2.5,NA,82,-71.18013099,-28.46354955,CIREN
510,2.5,2.5,2.5,2.5,2.5,NA,65,-71.09941136,-28.50722947,CIREN
511,2.5,2.5,2.5,2.5,2.5,NA,80,-72.64702168,-47.32350256,CIREN
