ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,A,L,a,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
13484,SF,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-70.32416619,-33.56694468,testigo,Bosque esclerofilo,0,10,15.53,29,55.47,-999,1.53,0.358,0.196,-999,-999,-999,-999,0.5565,-999,-999,-999,-999,-999,9.821,0.38,-999,-999,-999
13485,ASF,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-70.21666703,-33.49416698,testigo,Bosque esclerofilo andino,0,10,17.2,21.6,61.19,-999,1.53,0.2615,0.2054,-999,-999,-999,-999,0.424,-999,-999,-999,-999,-999,12.1948,0.48,-999,-999,-999
13486,LAS,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-70.12027729,-33.7033335,testigo,Matorral bajo-andino,0,10,7.78,20.6,71.63,-999,1.479,0.1693,0.07364,-999,-999,-999,-999,0.442,-999,-999,-999,-999,-999,3.88548,0.146,-999,-999,-999
13487,UAS,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-69.97944462,-33.61083301,testigo,Matorral alto-andino,0,10,6.67,12.24,81.08,-999,1.268,0.1873,0.00271,-999,-999,-999,-999,0.5214,-999,-999,-999,-999,-999,5.3492,0.271,-999,-999,-999
13555,Parron Aldo Ghiglino,3,Tierra Amarilla,NA,Seguel,UChile,Memoria Luciana Luli Poblete,-70.26388868,-27.547222090000002,testigo,NA,0,10,31,27.2,41.8,2.68,1.46,0.323,0.178,0.141,0.051,0.145,0.178,-999,-999,93.8,-999,16.7,8.03,2.81,-999,43,-999,6.9
13555,Parron Aldo Ghiglino,3,Tierra Amarilla,NA,Seguel,UChile,Memoria Luciana Luli Poblete,-70.26388868,-27.547222090000002,testigo,NA,10,30,30.2,24.4,45.4,2.7,1.62,0.33,0.22,0.093,0.024,0.11,0.22,-999,-999,28.1,-999,-999,-999,-999,-999,-999,-999,9.3
13555,Parron Aldo Ghiglino,3,Tierra Amarilla,NA,Seguel,UChile,Memoria Luciana Luli Poblete,-70.26388868,-27.547222090000002,testigo,NA,30,50,30.2,24.6,45.1,2.62,1.66,0.34,0.205,0.078,0.031,0.135,0.205,-999,-999,32.6,-999,-999,-999,-999,-999,-999,-999,8.5
13564,Rungue,13,Rungue,NA,Seguel,UChile,Tesis Carolina Munoz,-70.66166661,-33.14805545,testigo,Muestra superficial,0,20,36.4,32.5,31.1,2.62,1.23,0.412,0.232,0.127,0.012,0.18,0.232,-999,23,-999,-999,-999,-999,3.88,-999,-999,-999,8.85
13567,Rinconada,13,Maipu,NA,Seguel,UChile,"Tesis Ignacio ""Maimo"" Fuentes",-70.82556191,-33.50333369,testigo,Muesta superficial,0,20,22,44,34,2.67,1.39,0.323,0.15,0.105,0.072,0.173,0.15,-999,-999,-999,-999,-999,-999,3.87,-999,-999,-999,-999
13568,Rinconada,13,Maipu,NA,Seguel,UChile,"Tesis Ignacio ""Maimo"" Fuentes",-70.82555545,-33.50333378,testigo,Muesta superficial,0,20,16.8,40.3,42.9,2.58,1.27,0.353,0.166,0.073,0.06,0.187,0.166,-999,-999,-999,-999,-999,-999,7.93,-999,-999,-999,-999
13670,MQ,2,Mejillones,2010,Seguel,UChile,NA,-70.37611131,-23.12416658,testigo,NA,6,90,4,5.2,90.7,-999,1.59,0.0357,0.0273,-999,-999,-999,-999,-999,-999,3.6,-999,-999,8.5,0.11,12,1,127,-999
13692,Paposo_600,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.44651381,-25.01152745,testigo,NA,0,15,7.8,20.6,69.6,-999,2.04,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.31,-999,-999,-999,-999
13693,Paposo_900,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.4320194,-24.99983039,testigo,NA,0,15,6.2,23.2,68.7,-999,1.65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.15,-999,-999,-999,-999
13694,Paposo_880,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.42503371,-25.00921931,testigo,NA,0,15,6.8,22.6,69.9,-999,1.66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.31,-999,-999,-999,-999
13695,Paposo_910,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.4046308,-25.00808343,testigo,NA,0,15,1.8,20,77.6,-999,1.66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.71,-999,-999,-999,-999
13696,Paposo_1000,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.3927859,-25.01395286,testigo,NA,0,15,4.7,24.3,70.2,-999,1.88,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.91,-999,-999,-999,-999
13697,Paposo_1200,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.38890042,-25.02239464,testigo,NA,0,15,5,15.6,81.4,-999,2.11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.85,-999,-999,-999,-999
13698,Paposo_1460,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.35853297,-25.01511676,testigo,NA,0,15,2.1,4.9,93.4,-999,2.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.75,-999,-999,-999,-999
13699,Paposo_1750,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.31320266,-24.98844985,testigo,NA,0,15,4.8,25.4,69,-999,2.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.28,-999,-999,-999,-999
13700,Paposo_1700,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.29854195,-25.02501651,testigo,NA,0,15,14,19.4,64.7,-999,2.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.04,-999,-999,-999,-999
13701,Paposo_2000,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.31286341,-24.95565286,testigo,NA,0,15,19.7,10.1,69.1,-999,2.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.23,-999,-999,-999,-999
13702,Paposo_2110,NA,Paposo,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.25511103,-25.04584176,testigo,NA,0,15,5,19.5,73.7,-999,2.01,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.29,-999,-999,-999,-999
13703,Aroma_1200,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.6949639,-19.84967467,testigo,NA,0,15,4.3,21.8,73.1,-999,1.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.58,-999,-999,-999,-999
13704,Aroma_1300,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.68908579,-19.78208376,testigo,NA,0,15,3.7,15.1,80.5,-999,1.96,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.37,-999,-999,-999,-999
13705,Aroma_1400,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.6488723,-19.73955037,testigo,NA,0,15,9.8,19.4,71.2,-999,1.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.24,-999,-999,-999,-999
13706,Aroma_1500,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.62622765,-19.69781069,testigo,NA,0,15,8.7,20.3,71.9,-999,1.39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.08,-999,-999,-999,-999
13707,Aroma_1600,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.60896629,-19.66592747,testigo,NA,0,15,14.6,20,64.3,-999,1.32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.9,-999,-999,-999,-999
13708,Aroma_1700,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.58180315,-19.64456982,testigo,NA,0,15,3.2,24,71.9,-999,1.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.1,-999,-999,-999,-999
13709,Aroma_1800,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.55761639,-19.62719199,testigo,NA,0,15,14.6,23.2,61.2,-999,1.18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.88,-999,-999,-999,-999
13710,Aroma_2000,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.51027773,-19.59546954,testigo,NA,0,15,5.4,24.4,67.8,-999,1.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.87,-999,-999,-999,-999
13711,Aroma_2200,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.48360322,-19.57204454,testigo,NA,0,15,4,21.3,72,-999,2.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.73,-999,-999,-999,-999
13712,Aroma_2400,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.43323323,-19.5535248,testigo,NA,0,15,3.8,23.4,70.5,-999,1.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.58,-999,-999,-999,-999
13713,Aroma_2600,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.39855318,-19.55582235,testigo,NA,0,15,10.9,29.7,57.7,-999,2.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.4,-999,-999,-999,-999
13714,Aroma_2700,NA,Aroma,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.38126104,-19.52861676,testigo,NA,0,15,5.8,24.7,65.9,-999,2.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.55,-999,-999,-999,-999
13715,Rio_Tana_1070,NA,Rio Tana,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.90784449,-19.42493329,testigo,NA,0,15,7.9,23.1,71.4,-999,1.44,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.24,-999,-999,-999,-999
13716,Rio_Tana_17001300,NA,Rio Tana,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.84091101,-19.3976861,testigo,NA,0,15,6.1,9.1,84.6,-999,1.28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.97,-999,-999,-999,-999
13717,Rio_Tana_3170,NA,Rio Tana,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.89311109,-19.3464164,testigo,NA,0,15,3.3,4,92.3,-999,1.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.38,-999,-999,-999,-999
13718,Codpa_2000,NA,Codpa,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.75468345,-18.8102191,testigo,NA,0,15,10,20,69.6,-999,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.85,-999,-999,-999,-999
13719,Codpa_2100,NA,Codpa,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.7500885,-18.80358891,testigo,NA,0,15,8.2,37.6,51.3,-999,1.66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.45,-999,-999,-999,-999
13720,Codpa_2170,NA,Codpa,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.74465801,-18.80021355,testigo,NA,0,15,9.2,32.7,57.6,-999,1.31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.26,-999,-999,-999,-999
13721,Codpa_2300,NA,Codpa,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.71411689,-18.79059426,testigo,NA,0,15,8.5,41.7,47.4,-999,1.66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.99,-999,-999,-999,-999
13722,Codpa_2440,NA,Codpa,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-69.69735796,-18.78234684,testigo,NA,0,15,7.5,51.7,39.2,-999,1.72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.82,-999,-999,-999,-999
13723,Codpa_1020,NA,Yungay,2019,Pfeiffer,CHLSOC,Morchen et al 2019,-70.0279329,-24.11672476,testigo,NA,0,15,9.7,12.1,78.9,-999,2.32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.51,-999,-999,-999,-999
