ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,A,L,a,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
13417,Pino_Cte_5,7,Purapel,NA,Galleguillos,UChile,"Soto et al., 2037",-72.32118153,-35.44343165,testigo,NA,0,20,18.2,15.4,66.4,-999,1.166,0.202,0.082,0.123,0.123,0.139,-999,-999,10.5,-999,-999,0.786792453,5.43,4.161549873,44.8,-999,-999,-999
13417,Pino_Cte_5,7,Purapel,NA,Galleguillos,UChile,"Soto et al., 2038",-72.32118153,-35.44343165,testigo,NA,20,40,-999,-999,-999,-999,1.424,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13417,Pino_Cte_5,7,Purapel,NA,Galleguillos,UChile,"Soto et al., 2039",-72.32118153,-35.44343165,testigo,NA,40,60,-999,-999,-999,-999,1.356,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13433,H1,6,DoÃƒÂ±ihue,NA,Macari,UChile,Macari,-70.95133653,-34.21797012,testigo,DoÃƒÂ±ihue_Cristina Soto,0,20,16.7,30.6,52.7,2.317,1.579,0.164,0.082,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13434,H1,6,DoÃƒÂ±ihue,NA,Macari,UChile,Macari,-70.97358324,-34.21863019,testigo,DoÃƒÂ±ihue_JosÃƒÂ© CÃƒÂ©sped,0,20,28.9,41.2,29.9,2.098,1.504,0.137,0.074,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13435,H1,6,DoÃƒÂ±ihue,NA,Macari,UChile,Macari,-70.94371205,-34.22493759,testigo,DoÃƒÂ±ihue_JosÃƒÂ© Medina,0,20,23.9,47.4,28.7,2.255,1.376,0.231,0.161,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13436,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.66263655,-34.17985832,testigo,La Estrella_GermÃƒÂ¡n Soto,0,20,26.5,23.4,50.1,2.356,1.719,0.249,0.144,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13437,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.65505028,-34.19294498,testigo,La Estrella_Juan Veas,0,20,27.2,29.3,43.6,2.349,1.616,0.215,0.092,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13438,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.62997691,-34.24985036,testigo,La Estrella_Pihuelo 1,0,20,11.7,10,78.4,2.758,1.692,0.251,0.103,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13439,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.63189382,-34.24795841,testigo,La Estrella_Pihuelo 2,0,20,30.5,12,57.5,2.503,1.603,0.093,0.059,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13440,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.6619024,-34.17644764,testigo,La Estrella_Rolando,0,20,25.6,30.8,43.6,2.063,1.631,0.188,0.16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13441,H1,6,Nancagua,NA,Macari,UChile,Macari,-71.19621342,-34.70977398,testigo,Nancagua_Alberto Cabezas,0,20,12.9,19,68.1,2.632,1.523,0.201,0.122,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13442,H1,6,Nancagua,NA,Macari,UChile,Macari,-71.19896937,-34.71127311,testigo,Nancagua_HernÃƒÂ¡n DÃƒÂ­az,0,20,15.1,24.5,60.4,2.5,1.447,0.234,0.159,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13443,H1,6,Nancagua,NA,Macari,UChile,Macari,-71.16143062,-34.62033075,testigo,Nancagua_Manuel Parraguez,0,20,20,25.7,54.3,2.315,1.579,0.222,0.136,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13444,H1,6,Nancagua,NA,Macari,UChile,Macari,-71.19621331,-34.66829793,testigo,Nancagua_Soledad Rebeco,0,20,42.8,35.4,21.7,2.35,1.741,0.267,0.213,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13462,H1,13,NA,NA,Seguel,UChile,Ignacio Fuentes,-70.82605319,-33.5034058,testigo,Serie Mapocho NL,0,10,16.82,40.28,42.91,2.58,1.45,-999,-999,0.073,0.06,0.187,-999,0.485,-999,-999,-999,-999,-999,0.793,-999,-999,-999,-999
13463,H1,13,NA,NA,Seguel,UChile,Ignacio Fuentes,-70.82596348,-33.5037471,testigo,Serie Mapocho LC,0,10,21.99,43.98,34.04,2.67,1.33,-999,-999,0.105,0.072,0.173,-999,0.5,-999,-999,-999,-999,-999,0.387,-999,-999,-999,-999
13464,H1,13,NA,NA,Seguel,UChile,CristÃ³bal Mendoza,-70.82638921,-33.50305546,testigo,Serie Mapocho Arado,0,10,24.8,40.6,34.6,2.66,1.545,-999,-999,0.156,0.042,0.141,0.154,-999,49.1,-999,-999,-999,-999,-999,-999,-999,-999,7.93
13465,H1,13,NA,NA,Seguel,UChile,CristÃ³bal Mendoza,-70.82472265,-33.50555543,testigo,Serie Mapocho Nativo,0,10,12.7,40.9,46.4,2.34,1.14,-999,-999,0.201,0.048,0.158,0.186,-999,32.8,-999,-999,-999,-999,-999,-999,-999,-999,0.7
13466,H1,13,NA,NA,Seguel,UChile,CristÃ³bal Mendoza,-70.63694452,-33.57194416,testigo,Serie Santiago Cero Labranza,0,10,22.4,35.7,42,2.63,1.545,-999,-999,0.08,0.133,0.192,0.097,-999,40.4,-999,-999,-999,-999,-999,-999,-999,-999,3.38
13467,H1,13,NA,NA,Seguel,UChile,CristÃ³bal Mendoza,-70.63138901,-33.56972242,testigo,Serie Santiago Pradera,0,10,18.1,39.3,42.6,2.65,1.425,-999,-999,0.087,0.083,0.139,0.178,-999,16.8,-999,-999,-999,-999,-999,-999,-999,-999,0.09
13468,H1,13,NA,NA,Seguel,UChile,CristÃ³bal Mendoza,-70.79361111,-33.14750007,testigo,Serie Rungue Huella,0,10,27.5,39.7,32.8,2.39,1.535,-999,-999,0.075,0.053,0.143,0.359,-999,33.6,-999,-999,-999,-999,-999,-999,-999,-999,4.78
