id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Source
2118,0.22222904624132594,0.2305842388742035,0.2237273846252419,0.16812093846324172,0.1690922929697742,NA,80,-72.11269808,-45.75145597,CHLSOC
2119,0.32164706573684154,0.3356059440848713,0.2753806959119092,0.1578219018788501,0.2039865342305717,NA,80,-72.19405994,-45.69169256,CHLSOC
2120,0.1667532113179579,0.15329705283501968,0.12593992450537314,0.14802973722734666,0.16830700217271344,NA,94,-72.19467987,-45.59553961,CHLSOC
2121,0.29109806141052713,0.24122692878015914,0.18270890151218894,0.16672338353932573,0.1637457981400499,0.13700515477306155,118,-72.01347312,-45.57205753,CHLSOC
2122,0.17034982110629615,0.17186926091223453,0.17662942455812397,0.2001549328735928,0.20784942193766784,0.166626452592539,155,-72.00266047,-45.44787081,CHLSOC
2124,0.18353918111403064,0.17281406636982963,0.2007095047558209,0.19070373775280502,0.17288031697115905,NA,88,-72.60571986,-45.35511452,CHLSOC
2126,0.22974627660862518,0.20301915810163307,0.14696340038263014,0.22496543485911874,0.13035235905675754,0.16996093339707283,130,-72.27508941,-45.86483568,CHLSOC
2127,0.1899311185164715,0.17444069778935203,0.15146595567138757,0.1329345633004369,0.11676900164690515,0.14986408689374492,116,-71.52774381,-45.37193228,CHLSOC
2128,0.20225439804085307,0.19656889767154037,0.18731256580187342,0.20841834922170496,0.1999950051837446,NA,80,-71.87770767,-45.13722744,CHLSOC
2129,0.24369713930348258,0.25124063709231625,0.2676501750506726,0.2755700663349918,NA,NA,39,-71.86727854,-44.68611968,CHLSOC
