ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,Arcilla,Limo,arena,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
13378,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.255982650000007,-30.28838835,testigo,sitio 34,0,10,15.87,19.52,64.62,-999,-999,0.209506555,0.097355864,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.16,4.072805035,4.123,-999,-999,-999
13379,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.24863913,-30.25359007,testigo,sitio 36,0,10,5.69,20.82,73.49,-999,-999,0.183341125,0.093114753,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.04,1.80872969,3.367,-999,-999,-999
13381,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.26522406,-30.28334861,testigo,sitio 37,0,10,13.8,23.36,62.83,-999,-999,0.158228393,0.08159648,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.17,2.197004085,1.869,-999,-999,-999
13382,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.23641481,-30.29116199,testigo,sitio 38,0,10,14.26,16.34,69.4,-999,-999,0.187797555,0.09687083,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.3,3.066075662,2.807,-999,-999,-999
13383,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.29001579,-30.26343945,testigo,sitio 4,0,10,17.85,12.83,69.33,-999,-999,0.106741121,0.080025788,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.74,1.936233065,2.253,-999,-999,-999
13384,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.28755253,-30.2789182,testigo,sitio 40,0,10,9.95,12.28,77.77,-999,-999,0.145475715,0.098602943,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.14,2.198520698,2.233,-999,-999,-999
13385,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.27613217,-30.2709815,testigo,sitio 5,0,10,21.86,12.16,65.98,-999,-999,0.16806202,0.136219622,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.84,2.438943894,2.247,-999,-999,-999
13386,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.24628016,-30.27232733,testigo,sitio 8,0,10,10.68,20.71,68.62,-999,-999,0.128083748,0.07952908,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.47,5.309521337,5.761,-999,-999,-999
13387,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.25244529,-30.25676859,testigo,sitio 9,0,10,9.62,18.64,71.74,-999,-999,0.137813867,0.079246156,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.15,1.592370904,1.099,-999,-999,-999
13417,Pino_Cte_5,7,Purapel,NA,Galleguillos,UChile,"Soto et al., 2037",-72.32118153,-35.44343165,testigo,NA,0,20,18.2,15.4,66.4,-999,1.166,0.202,0.082,0.123,0.123,0.139,-999,-999,10.5,-999,-999,0.786792453,5.43,4.161549873,44.8,-999,-999,-999
13417,Pino_Cte_5,7,Purapel,NA,Galleguillos,UChile,"Soto et al., 2038",-72.32118153,-35.44343165,testigo,NA,20,40,-999,-999,-999,-999,1.424,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13417,Pino_Cte_5,7,Purapel,NA,Galleguillos,UChile,"Soto et al., 2039",-72.32118153,-35.44343165,testigo,NA,40,60,-999,-999,-999,-999,1.356,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13433,H1,6,DoÃ±ihue,NA,Macari,UChile,Macari,-70.95133653,-34.21797012,testigo,DoÃ±ihue_Cristina Soto,0,20,16.7,30.6,52.7,2.317,1.579,0.164,0.082,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13434,H1,6,DoÃ±ihue,NA,Macari,UChile,Macari,-70.97358324,-34.21863019,testigo,DoÃ±ihue_JosÃ© CÃ©sped,0,20,28.9,41.2,29.9,2.098,1.504,0.137,0.074,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13435,H1,6,DoÃ±ihue,NA,Macari,UChile,Macari,-70.94371205,-34.22493759,testigo,DoÃ±ihue_JosÃ© Medina,0,20,23.9,47.4,28.7,2.255,1.376,0.231,0.161,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13436,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.66263655,-34.17985832,testigo,La Estrella_GermÃ¡n Soto,0,20,26.5,23.4,50.1,2.356,1.719,0.249,0.144,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13437,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.65505028,-34.19294498,testigo,La Estrella_Juan Veas,0,20,27.2,29.3,43.6,2.349,1.616,0.215,0.092,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13438,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.62997691,-34.24985036,testigo,La Estrella_Pihuelo 1,0,20,11.7,10,78.4,2.758,1.692,0.251,0.103,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13439,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.63189382,-34.24795841,testigo,La Estrella_Pihuelo 2,0,20,30.5,12,57.5,2.503,1.603,0.093,0.059,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13440,H1,6,La Estrella,NA,Macari,UChile,Macari,-71.6619024,-34.17644764,testigo,La Estrella_Rolando,0,20,25.6,30.8,43.6,2.063,1.631,0.188,0.16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13441,H1,6,Nancagua,NA,Macari,UChile,Macari,-71.19621342,-34.70977398,testigo,Nancagua_Alberto Cabezas,0,20,12.9,19,68.1,2.632,1.523,0.201,0.122,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13442,H1,6,Nancagua,NA,Macari,UChile,Macari,-71.19896937,-34.71127311,testigo,Nancagua_HernÃ¡n DÃ­az,0,20,15.1,24.5,60.4,2.5,1.447,0.234,0.159,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13443,H1,6,Nancagua,NA,Macari,UChile,Macari,-71.16143062,-34.62033075,testigo,Nancagua_Manuel Parraguez,0,20,20,25.7,54.3,2.315,1.579,0.222,0.136,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13444,H1,6,Nancagua,NA,Macari,UChile,Macari,-71.19621331,-34.66829793,testigo,Nancagua_Soledad Rebeco,0,20,42.8,35.4,21.7,2.35,1.741,0.267,0.213,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13484,SF,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-70.32416619,-33.56694468,testigo,Bosque esclerofilo,0,10,15.53,29,55.47,-999,1.53,0.358,0.196,-999,-999,-999,-999,0.5565,-999,-999,-999,-999,-999,9.821,0.38,-999,-999,-999
13485,ASF,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-70.21666703,-33.49416698,testigo,Bosque esclerofilo andino,0,10,17.2,21.6,61.19,-999,1.53,0.2615,0.2054,-999,-999,-999,-999,0.424,-999,-999,-999,-999,-999,12.1948,0.48,-999,-999,-999
13486,LAS,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-70.12027729,-33.7033335,testigo,Matorral bajo-andino,0,10,7.78,20.6,71.63,-999,1.479,0.1693,0.07364,-999,-999,-999,-999,0.442,-999,-999,-999,-999,-999,3.88548,0.146,-999,-999,-999
13487,UAS,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-69.97944462,-33.61083301,testigo,Matorral alto-andino,0,10,6.67,12.24,81.08,-999,1.268,0.1873,0.00271,-999,-999,-999,-999,0.5214,-999,-999,-999,-999,-999,5.3492,0.271,-999,-999,-999
13499,P01a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29736313,-35.47501386,testigo,NA,0,19,15,44.4,40.6,-999,0.855,0.335421016,0.141686183,-999,-999,-999,-999,-999,-999,-999,0.768333333,-999,-999,-999,-999,-999,-999,-999
13501,P03a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29911532,-35.46667504,testigo,NA,0,10,13.2,46,40.8,-999,0.913,0.325314379,0.148494289,-999,-999,-999,-999,-999,-999,-999,0.604378863,-999,-999,-999,-999,-999,-999,-999
13503,P05a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.2946637,-35.47878251,testigo,NA,0,14,15.1,39.8,45.1,-999,0.997,0.353901996,0.217054264,-999,-999,-999,-999,-999,-999,-999,0.348333333,-999,-999,-999,-999,-999,-999,-999
13504,P06a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29298208,-35.47807146,testigo,NA,0,8,12.9,42.3,44.8,-999,1.024,0.328286304,0.199266504,-999,-999,-999,-999,-999,-999,-999,0.753333333,-999,-999,-999,-999,-999,-999,-999
13505,P07a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.28794985,-35.4770553,testigo,NA,0,12,17.8,48.2,34,-999,1.053,0.314754098,0.120805369,-999,-999,-999,-999,-999,-999,-999,0.351666667,-999,-999,-999,-999,-999,-999,-999
13506,P08a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29659934,-35.47115065,testigo,NA,0,14,18.9,45.8,35.2,-999,0.911,0.358158429,0.132502831,-999,-999,-999,-999,-999,-999,-999,1.13,-999,-999,-999,-999,-999,-999,-999
13507,P09a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29022915,-35.47216276,testigo,NA,0,20,22,48.4,29.5,-999,1.113,0.279385172,0.196061644,-999,-999,-999,-999,-999,-999,-999,1.953333333,-999,-999,-999,-999,-999,-999,-999
13508,P10a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29329322,-35.47408874,testigo,NA,0,12,20.4,45.9,33.7,-999,1.125,0.326164875,0.132639792,-999,-999,-999,-999,-999,-999,-999,1.713333333,-999,-999,-999,-999,-999,-999,-999
13509,P11a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29485817,-35.47545183,testigo,NA,0,20,10.1,41.7,48.2,-999,0.843,0.485758276,0.21875,-999,-999,-999,-999,-999,-999,-999,10.29666667,-999,-999,-999,-999,-999,-999,-999
13510,P12a,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.2970555,-35.4761127,testigo,NA,0,33,14.8,47.3,37.9,-999,1.223,0.312738854,0.122544434,-999,-999,-999,-999,-999,-999,-999,0.488333333,-999,-999,-999,-999,-999,-999,-999
13511,P13b,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.30009024,-35.46923475,testigo,NA,0,35,11.5,48.7,39.7,-999,0.657,0.546806649,0.280291971,-999,-999,-999,-999,-999,-999,-999,1.045,-999,-999,-999,-999,-999,-999,-999
13512,P14b,7,Santa Olga,2021,Galleguillos,UChile,NA,-72.29098322,-35.47039388,testigo,NA,0,30,9.8,36.7,53.5,-999,0.965,0.316791298,0.224089636,-999,-999,-999,-999,-999,-999,-999,1.115,-999,-999,-999,-999,-999,-999,-999
