id,obs,sim,depth
2133,0.2043075983842358,0.13699999451637268,0-5 cm
2134,0.0375956166188762,0.05700000002980232,0-5 cm
2135,0.2044226270554125,0.12099999934434891,0-5 cm
2136,0.08439404481377236,0.17000000178813934,0-5 cm
13238,0.1723082436524675,0.15299999713897705,0-5 cm
13239,0.24141907086165465,0.13500000536441803,0-5 cm
13240,0.3111265447205714,0.13500000536441803,0-5 cm
13241,0.247929338275856,0.14800000190734863,0-5 cm
13242,0.16333869768346967,0.10999999940395355,0-5 cm
13243,0.15486907499383,0.12600000202655792,0-5 cm
13244,0.24206734545448608,0.08799999952316284,0-5 cm
13245,0.1565812779292854,0.11999999731779099,0-5 cm
13246,0.3092246664274157,0.1589999943971634,0-5 cm
13247,0.08197678170071433,0.08500000089406967,0-5 cm
13248,0.1673913696258693,0.10599999874830246,0-5 cm
13249,0.17698662977383925,0.08900000154972076,0-5 cm
13250,0.12136230615990844,0.08799999952316284,0-5 cm
13251,0.11917099549244436,0.14499999582767487,0-5 cm
13252,0.2624510398372723,0.13099999725818634,0-5 cm
13253,0.10000548069257384,0.13300000131130219,0-5 cm
13254,0.09872582004752237,0.10899999737739563,0-5 cm
13255,0.1366784719543277,0.14100000262260437,0-5 cm
13256,0.09641344056000752,0.1120000034570694,0-5 cm
13257,0.1924459982175357,0.1120000034570694,0-5 cm
13258,0.109082330530913,0.09600000083446503,0-5 cm
13259,0.06128347480490805,0.08699999749660492,0-5 cm
13260,0.14611482273493978,0.10300000011920929,0-5 cm
13261,0.13562400313296255,0.10100000351667404,0-5 cm
13262,0.16272626052502748,0.10300000011920929,0-5 cm
13263,0.15352708454886774,0.164000004529953,0-5 cm
13264,0.12226922293966686,0.13600000739097595,0-5 cm
13265,0.09246171056893115,0.13099999725818634,0-5 cm
13266,0.12168746139666196,0.12300000339746475,0-5 cm
13267,0.09618559244388385,0.1120000034570694,0-5 cm
13268,0.1553877529006607,0.17299999296665192,0-5 cm
13269,0.06870911398413113,0.125,0-5 cm
13270,0.1485093186840643,0.1120000034570694,0-5 cm
13271,0.0936260550707342,0.12300000339746475,0-5 cm
13272,0.14455595628288215,0.1420000046491623,0-5 cm
13273,0.11686524473537514,0.11800000071525574,0-5 cm
13274,0.16930436773990765,0.11299999803304672,0-5 cm
13275,0.06667838923076387,0.13099999725818634,0-5 cm
13276,0.097878484640711,0.13199999928474426,0-5 cm
13277,0.08887913337847878,0.09399999678134918,0-5 cm
13278,0.0833322711933924,0.0860000029206276,0-5 cm
13279,0.09639197919360046,0.09000000357627869,0-5 cm
13280,0.08313160997570845,0.12200000137090683,0-5 cm
13281,0.07625048271299102,0.12600000202655792,0-5 cm
13282,0.17750782437980872,0.14900000393390656,0-5 cm
13283,0.1245206531731862,0.13500000536441803,0-5 cm
13284,0.13379632197409297,0.12800000607967377,0-5 cm
13285,0.15977961156395096,0.16300000250339508,0-5 cm
13286,0.2209391717765505,0.15800000727176666,0-5 cm
13287,0.14482745671880076,0.13699999451637268,0-5 cm
13288,0.10842151590146146,0.10400000214576721,0-5 cm
13289,0.07083348683531576,0.0949999988079071,0-5 cm
13290,0.2301993089888809,0.16699999570846558,0-5 cm
13291,0.2296132637088466,0.16099999845027924,0-5 cm
13292,0.15191016885282693,0.11999999731779099,0-5 cm
13293,0.26838338288498603,0.13300000131130219,0-5 cm
13294,0.17599212124769875,0.12800000607967377,0-5 cm
13295,0.1351985450482081,0.13500000536441803,0-5 cm
13296,0.20163695410234211,0.1589999943971634,0-5 cm
13297,0.17268963103150148,0.1550000011920929,0-5 cm
13298,0.18369110969886163,0.16099999845027924,0-5 cm
13299,0.095,0.12200000137090683,0-5 cm
13300,0.08269987776238082,NA,0-5 cm
13301,0.2170688203239824,0.1420000046491623,0-5 cm
13302,0.11601054496157338,0.13699999451637268,0-5 cm
13303,0.11803681889543312,0.14300000667572021,0-5 cm
13304,0.11,0.12300000339746475,0-5 cm
13305,0.1572520383165893,0.15600000321865082,0-5 cm
13306,0.19526234360530553,0.15800000727176666,0-5 cm
13307,0.2825207170805974,0.1809999942779541,0-5 cm
13308,0.22702545381095365,0.14499999582767487,0-5 cm
13309,0.20119758016389103,0.12700000405311584,0-5 cm
13310,0.2786914890914464,0.17499999701976776,0-5 cm
