id,soil depth,x,y,Fuente,profundidad,values
301,120,-72.51929855,-37.63218008,CIREN,0-5 cm,2.5
302,120,-72.48994988,-38.59479625,CIREN,0-5 cm,2.5
303,110,-72.61098144,-37.54665932,CIREN,0-5 cm,2.5
304,105,-72.35160779,-36.36958478,CIREN,0-5 cm,2.5
305,95,-72.35371461,-36.37323803,CIREN,0-5 cm,2.5
307,55,-72.75031032,-38.7496618,CIREN,0-5 cm,2.5
311,120,-72.96352448,-40.42750987,CIREN,0-5 cm,2.5
313,75,-72.60732486,-42.40483746,CIREN,0-5 cm,2.5
314,120,-71.05515898,-33.58474028,CIREN,0-5 cm,2.5
315,65,-72.83918425,-40.09420196,CIREN,0-5 cm,2.5
316,100,-72.50009664,-37.25689153,CIREN,0-5 cm,2.5
317,95,-71.74230593,-35.80327649,CIREN,0-5 cm,2.5
318,85,-71.34720801,-35.38437731,CIREN,0-5 cm,2.5
322,60,-71.22728938,-34.37333532,CIREN,0-5 cm,2.5
323,125,-71.38450127,-33.90639154,CIREN,0-5 cm,2.5
324,39,-71.11898352,-29.94852593,CIREN,0-5 cm,18.4
325,80,-72.02634517,-39.30552758,CIREN,0-5 cm,2.5
327,120,-73.42756013,-37.92536728,CIREN,0-5 cm,2.5
328,50,-71.97753062,-37.33324107,CIREN,0-5 cm,2.5
329,136,-72.25451283,-38.65707278,CIREN,0-5 cm,2.5
330,100,-71.48915555,-35.31122478,CIREN,0-5 cm,2.5
331,50,-71.80766075,-36.27402341,CIREN,0-5 cm,2.5
332,210,-72.40424424,-40.71670186,CIREN,0-5 cm,2.5
333,90,-72.27176204,-39.61513769,CIREN,0-5 cm,2.5
334,66,-73.92297368,-42.56749669,CIREN,0-5 cm,2.5
335,70,-70.5222319,-30.01659596,CIREN,0-5 cm,2.5
336,46,-72.60904123,-39.01714939,CIREN,0-5 cm,2.5
337,88,-71.38487797,-33.91990836,CIREN,0-5 cm,2.5
338,104,-72.38167247,-37.45303706,CIREN,0-5 cm,2.5
341,120,-70.84456437,-33.1302252,CIREN,0-5 cm,2.5
342,73,-71.28465132,-34.44350156,CIREN,0-5 cm,2.5
343,100,-70.73044844,-34.32546734,CIREN,0-5 cm,2.5
344,115,-71.18678799,-33.48718241,CIREN,0-5 cm,2.5
345,118,-73.01783814,-41.47693188,CIREN,0-5 cm,2.5
346,130,-72.59706123,-40.63845675,CIREN,0-5 cm,2.5
347,110,-70.85369481,-33.86322753,CIREN,0-5 cm,2.5
348,115,-72.45821871,-36.19588279,CIREN,0-5 cm,2.5
349,110,-73.5317976,-40.69376764,CIREN,0-5 cm,2.5
350,100,-71.25811723,-33.87000395,CIREN,0-5 cm,2.5
352,60,-72.45232722,-38.45703105,CIREN,0-5 cm,2.5
354,120,-73.30630478,-38.78877722,CIREN,0-5 cm,2.5
355,160,-73.0867416,-39.67197056,CIREN,0-5 cm,2.5
357,112,-71.76862116,-35.89190005,CIREN,0-5 cm,2.5
358,80,-72.57585453,-42.36996001,CIREN,0-5 cm,2.5
359,100,-71.19562229,-31.6478738,CIREN,0-5 cm,2.5
360,150,-73.1920735,-39.11640142,CIREN,0-5 cm,2.5
361,46,-72.14505439,-36.88011427,CIREN,0-5 cm,2.5
362,70,-70.48107196,-30.10729583,CIREN,0-5 cm,2.5
364,110,-70.88250415,-33.40019875,CIREN,0-5 cm,2.5
365,70,-71.25519582,-31.73522187,CIREN,0-5 cm,2.5
367,76,-71.3391856,-34.33067636,CIREN,0-5 cm,2.5
369,120,-73.51901033,-40.57604938,CIREN,0-5 cm,2.5
372,55,-71.32151239,-33.81653085,CIREN,0-5 cm,2.5
373,100,-73.39010134,-38.77419766,CIREN,0-5 cm,2.5
376,120,-73.06616466,-38.7282863,CIREN,0-5 cm,2.5
377,60,-71.62135158,-35.79245669,CIREN,0-5 cm,2.5
378,110,-70.98303871,-30.01496878,CIREN,0-5 cm,2.5
379,104,-72.662115,-41.04287738,CIREN,0-5 cm,2.5
380,115,-72.56574936,-37.70163012,CIREN,0-5 cm,2.5
383,53,-71.07528112,-29.98909744,CIREN,0-5 cm,2.5
384,120,-72.02154199,-38.99080318,CIREN,0-5 cm,2.5
385,55,-71.23546365,-30.10744731,CIREN,0-5 cm,2.5
386,100,-71.01537702,-31.78677512,CIREN,0-5 cm,2.5
387,80,-71.73620381,-35.39782138,CIREN,0-5 cm,2.5
388,120,-72.42342361,-36.69110141,CIREN,0-5 cm,2.5
390,87,-71.28285858,-34.06793261,CIREN,0-5 cm,2.5
391,100,-72.40426454,-36.77810494,CIREN,0-5 cm,2.5
392,70,-70.69668594,-33.07641198,CIREN,0-5 cm,2.5
393,80,-71.41891698,-32.12451636,CIREN,0-5 cm,2.5
397,92,-72.2620899,-38.63923154,CIREN,0-5 cm,2.5
399,120,-72.07596024,-36.43975453,CIREN,0-5 cm,2.5
400,120,-73.23071426,-38.6326702,CIREN,0-5 cm,2.5
402,120,-73.21229202,-41.32970875,CIREN,0-5 cm,2.5
403,110,-72.46534815,-37.58597579,CIREN,0-5 cm,2.5
404,90,-71.44879746,-35.79339302,CIREN,0-5 cm,2.5
405,110,-72.59836502,-40.2876315,CIREN,0-5 cm,2.5
406,90,-72.51625491,-37.65554145,CIREN,0-5 cm,2.5
407,130,-73.5432926,-40.92587123,CIREN,0-5 cm,2.5
408,120,-73.03298577,-38.02441915,CIREN,0-5 cm,2.5
409,80,-72.93522489,-40.29278791,CIREN,0-5 cm,2.5
410,105,-70.82973323,-33.49838176,CIREN,0-5 cm,2.5
412,90,-70.75252318,-34.13218908,CIREN,0-5 cm,2.5
413,120,-71.77894425,-35.45633277,CIREN,0-5 cm,2.5
414,100,-71.85117182,-38.43876729,CIREN,0-5 cm,2.5
416,120,-72.3764375,-40.35352116,CIREN,0-5 cm,2.5
417,120,-70.78958051,-33.06158529,CIREN,0-5 cm,2.5
418,27,-72.89493984,-40.75462468,CIREN,0-5 cm,29.6
419,90,-72.95163704,-39.56876669,CIREN,0-5 cm,2.5
420,26,-71.2435823,-30.00284492,CIREN,0-5 cm,21.7
421,145,-71.69725818,-36.45816616,CIREN,0-5 cm,2.5
422,100,-72.84863849,-38.05633419,CIREN,0-5 cm,2.5
423,90,-71.29048212,-33.62461713,CIREN,0-5 cm,2.5
425,100,-72.58299976,-37.46678259,CIREN,0-5 cm,2.5
427,32,-72.18586756,-36.5153921,CIREN,0-5 cm,2.5
428,20,-71.74254054,-35.61670072,CIREN,0-5 cm,16.2
431,54,-72.65961621,-39.75378898,CIREN,0-5 cm,2.5
432,103,-72.10962906,-38.65989198,CIREN,0-5 cm,2.5
433,90,-71.45108164,-35.28856596,CIREN,0-5 cm,2.5
434,90,-70.88948583,-30.40401591,CIREN,0-5 cm,2.5
435,94,-72.13497419,-38.47041318,CIREN,0-5 cm,2.5
436,90,-71.00305357,-31.78823239,CIREN,0-5 cm,2.5
437,120,-71.35522176,-33.9033487,CIREN,0-5 cm,2.5
438,120,-72.78038106,-38.20284273,CIREN,0-5 cm,2.5
442,70,-70.75606843,-33.52830549,CIREN,0-5 cm,2.5
443,57,-71.10623843,-34.0232731,CIREN,0-5 cm,2.5
444,250,-72.83227221,-37.77982684,CIREN,0-5 cm,2.5
446,90,-72.35951685,-37.08540978,CIREN,0-5 cm,2.5
447,90,-71.04075133,-34.48298063,CIREN,0-5 cm,2.5
450,100,-71.56153732,-35.37461255,CIREN,0-5 cm,2.5
451,50,-72.84131976,-37.16014928,CIREN,0-5 cm,2.5
452,85,-70.81246292,-33.34082102,CIREN,0-5 cm,2.5
455,64,-72.81027137,-38.76432051,CIREN,0-5 cm,2.5
456,45,-73.90044502,-42.70551655,CIREN,0-5 cm,2.5
458,150,-72.57366417,-36.33879589,CIREN,0-5 cm,2.5
459,120,-72.70199965,-36.04208877,CIREN,0-5 cm,2.5
460,58,-71.05809682,-31.78942879,CIREN,0-5 cm,2.5
461,138,-72.50696803,-37.5264825,CIREN,0-5 cm,2.5
462,120,-70.66411046,-31.89666824,CIREN,0-5 cm,2.5
463,120,-73.13164587,-39.14923818,CIREN,0-5 cm,2.5
464,150,-72.95529816,-36.57434108,CIREN,0-5 cm,2.5
466,150,-72.58756035,-37.09468753,CIREN,0-5 cm,2.5
468,90,-71.372951,-33.70375839,CIREN,0-5 cm,2.5
469,120,-71.95958369,-36.40643587,CIREN,0-5 cm,2.5
470,70,-72.04915903,-36.55805088,CIREN,0-5 cm,2.5
473,72,-70.79219434,-34.11087699,CIREN,0-5 cm,2.5
474,140,-72.1612373,-36.33366984,CIREN,0-5 cm,2.5
475,120,-71.39858855,-33.98455711,CIREN,0-5 cm,2.5
476,100,-72.82179814,-38.01979204,CIREN,0-5 cm,2.5
477,116,-71.89316034,-37.28127078,CIREN,0-5 cm,2.5
478,110,-71.87978642,-36.59988981,CIREN,0-5 cm,2.5
479,110,-71.80143005,-35.34224538,CIREN,0-5 cm,2.5
480,100,-71.3522359,-31.62884851,CIREN,0-5 cm,2.5
481,200,-73.14994668,-39.7495806,CIREN,0-5 cm,2.5
484,80,-73.03569957,-39.70400108,CIREN,0-5 cm,2.5
485,91,-70.69985299,-33.84560716,CIREN,0-5 cm,2.5
486,24,-71.84323544,-35.71711149,CIREN,0-5 cm,2.5
488,55,-72.31489251,-38.20753099,CIREN,0-5 cm,2.5
489,67,-70.70066238,-30.02253102,CIREN,0-5 cm,2.5
490,50,-71.76476461,-36.00374688,CIREN,0-5 cm,2.5
491,100,-72.24372427,-39.30818982,CIREN,0-5 cm,2.5
492,120,-71.3365836,-33.9731283,CIREN,0-5 cm,2.5
494,66,-72.33624165,-38.68419861,CIREN,0-5 cm,2.5
496,120,-71.10636368,-33.80867287,CIREN,0-5 cm,2.5
498,70,-71.23733532,-30.07539074,CIREN,0-5 cm,2.5
500,125,-71.97399254,-37.09995003,CIREN,0-5 cm,2.5
501,51,-70.9839199,-34.47399892,CIREN,0-5 cm,2.5
503,130,-71.97702191,-45.55663466,CIREN,0-5 cm,2.5
504,90,-71.71092801,-46.54208229,CIREN,0-5 cm,2.5
505,108,-71.69060128,-46.53986255,CIREN,0-5 cm,2.5
506,120,-71.99720798,-45.68302328,CIREN,0-5 cm,2.5
507,105,-71.70411438,-45.93723751,CIREN,0-5 cm,2.5
508,110,-71.93054899,-45.81292892,CIREN,0-5 cm,2.5
509,82,-71.18013099,-28.46354955,CIREN,0-5 cm,2.5
510,65,-71.09941136,-28.50722947,CIREN,0-5 cm,2.5
511,80,-72.64702168,-47.32350256,CIREN,0-5 cm,2.5
512,103,-72.39495855,-43.96559031,CIREN,0-5 cm,2.5
513,67,-72.61853116,-46.55437012,CIREN,0-5 cm,2.5
514,78,-72.06719826,-47.11078642,CIREN,0-5 cm,2.5
561,34,-72.30088747,-36.75507138,CIREN,0-5 cm,2.5
562,150,-73.37410513,-37.91418464,CIREN,0-5 cm,2.5
564,115,-71.64088916,-35.8812591,CIREN,0-5 cm,2.5
571,120,-70.73172407,-34.12256534,CIREN,0-5 cm,2.5
579,65,-71.68296667,-35.45219626,CIREN,0-5 cm,2.5
583,100,-71.76397944,-35.40530061,CIREN,0-5 cm,2.5
585,70,-71.15253172,-32.85431713,CIREN,0-5 cm,2.5
586,120,-71.49950892,-33.2510051,CIREN,0-5 cm,2.5
587,110,-71.33367385,-33.33439021,CIREN,0-5 cm,2.5
588,125,-71.4508471,-33.25693337,CIREN,0-5 cm,2.5
589,100,-71.31100844,-33.31813281,CIREN,0-5 cm,2.5
591,60,-70.88971072,-32.41420629,CIREN,0-5 cm,2.5
595,10,-71.25071,-30.20157,CHLSOC,0-5 cm,41
596,10,-73.38968,-38.77412,CHLSOC,0-5 cm,67
597,10,-72.1112,-39.85941,CHLSOC,0-5 cm,31
598,10,-73.41283,-39.93245,CHLSOC,0-5 cm,57
599,10,-73.15404,-40.9034,CHLSOC,0-5 cm,45
600,10,-73.82429,-42.42186,CHLSOC,0-5 cm,62
601,10,-73.61712,-43.05791,CHLSOC,0-5 cm,60
602,10,-72.39653,-43.96393,CHLSOC,0-5 cm,64
603,10,-72.81482,-45.48736,CHLSOC,0-5 cm,56
604,10,-72.90757,-45.78639,CHLSOC,0-5 cm,52
605,10,-72.61276,-46.56823,CHLSOC,0-5 cm,45
606,10,-71.50008,-31.81284,CHLSOC,0-5 cm,15
607,10,-72.16487999,-51.80696,CHLSOC,0-5 cm,45
608,10,-70.9886,-53.43267,CHLSOC,0-5 cm,39
609,10,-70.36106001,-53.31478,CHLSOC,0-5 cm,51
610,10,-70.52162,-32.87609,CHLSOC,0-5 cm,57
611,10,-71.14047,-33.99911,CHLSOC,0-5 cm,36
612,10,-70.83241999,-33.4778,CHLSOC,0-5 cm,52
613,10,-71.61243,-33.33901,CHLSOC,0-5 cm,45
614,10,-71.87564,-33.96865,CHLSOC,0-5 cm,65
615,10,-71.69721,-36.45816,CHLSOC,0-5 cm,66
616,10,-73.26686,-37.25344,CHLSOC,0-5 cm,68
2091,74,-72.94555953,-47.48234204,CHLSOC,0-5 cm,2.5
2092,8,-72.59043587,-47.2896276,CHLSOC,0-5 cm,22.6
2099,120,-71.7001371,-46.54507242,CHLSOC,0-5 cm,2.5
2101,69,-71.8672515,-46.51644819,CHLSOC,0-5 cm,2.5
2102,65,-72.53019162,-46.75176027,CHLSOC,0-5 cm,2.5
2107,80,-72.71684099,-46.53849301,CHLSOC,0-5 cm,2.5
2108,168,-72.56091111,-46.12423387,CHLSOC,0-5 cm,2.5
2109,90,-72.0735922,-46.10764901,CHLSOC,0-5 cm,2.5
2110,97,-71.9530782,-46.23658086,CHLSOC,0-5 cm,2.5
2111,122,-71.94350943,-46.28714194,CHLSOC,0-5 cm,2.5
2112,100,-72.09926057,-46.2222507,CHLSOC,0-5 cm,2.5
2113,100,-71.83604749,-45.90280182,CHLSOC,0-5 cm,2.5
2115,106,-71.78873351,-45.78201941,CHLSOC,0-5 cm,2.5
2116,178,-72.06091754,-45.75910861,CHLSOC,0-5 cm,2.5
2117,124,-72.06522654,-45.84895919,CHLSOC,0-5 cm,2.5
2118,80,-72.11269808,-45.75145597,CHLSOC,0-5 cm,2.5
2119,80,-72.19405994,-45.69169256,CHLSOC,0-5 cm,2.5
2120,94,-72.19467987,-45.59553961,CHLSOC,0-5 cm,2.5
2121,118,-72.01347312,-45.57205753,CHLSOC,0-5 cm,2.5
2122,155,-72.00266047,-45.44787081,CHLSOC,0-5 cm,2.5
2124,88,-72.60571986,-45.35511452,CHLSOC,0-5 cm,2.5
2126,130,-72.27508941,-45.86483568,CHLSOC,0-5 cm,2.5
