id,soil depth,x,y,Fuente,profundidad,values
249,56,-72.30037308,-38.59868091,CIREN,0-5 cm,0.9098515436412068
251,50,-71.28217631,-30.10844788,CIREN,0-5 cm,1.7811677347564894
254,110,-73.05086743,-40.26010746,CIREN,0-5 cm,0.9122941649456552
256,110,-72.5240373,-37.48899095,CIREN,0-5 cm,0.9118105529640982
258,78,-71.28413695,-33.50616427,CIREN,0-5 cm,1.5460100765067522
260,150,-72.56692704,-39.35143644,CIREN,0-5 cm,0.9068218190039792
261,120,-70.70322281,-33.63365222,CIREN,0-5 cm,1.4807008599757605
264,90,-73.7994099,-42.05202408,CIREN,0-5 cm,0.8411699191385952
266,100,-72.60732486,-42.40483746,CIREN,0-5 cm,0.6860958585179295
268,120,-71.60637995,-36.51290953,CIREN,0-5 cm,1.1628016397178311
270,100,-71.81517439,-35.61051775,CIREN,0-5 cm,1.817593964130586
271,140,-73.43318759,-37.28013959,CIREN,0-5 cm,1.261434148843723
272,120,-72.61010278,-38.77931309,CIREN,0-5 cm,0.9615481777353846
274,140,-72.69905822,-38.15622525,CIREN,0-5 cm,0.9808082938598852
275,58,-71.45957747,-31.62231559,CIREN,0-5 cm,1.5402712588958023
280,80,-71.20096976,-34.53068732,CIREN,0-5 cm,1.1272725393697909
281,112,-73.44785946,-41.67449407,CIREN,0-5 cm,0.5294572665374035
284,70,-71.4438516,-31.58519029,CIREN,0-5 cm,1.4342691898219866
285,100,-71.73751278,-35.24095633,CIREN,0-5 cm,1.910713236166247
286,90,-73.70702893,-42.34597449,CIREN,0-5 cm,0.2953447539802138
287,120,-72.06084523,-39.33885637,CIREN,0-5 cm,0.5708144165039641
289,82,-70.80133518,-33.42748408,CIREN,0-5 cm,1.5703989966042833
290,95,-71.85647305,-38.87604473,CIREN,0-5 cm,0.7956000053956721
291,35,-71.56805548,-37.30499689,CIREN,0-5 cm,1.2124632298321198
292,75,-71.65094453,-35.91708969,CIREN,0-5 cm,1.6999999999999995
293,100,-73.38366684,-37.25405693,CIREN,0-5 cm,1.228707250861569
294,80,-70.97174415,-34.41919644,CIREN,0-5 cm,1.6670996862374088
297,120,-72.91338174,-40.35275246,CIREN,0-5 cm,0.7632457858046909
298,120,-71.96073617,-36.81643138,CIREN,0-5 cm,0.8283375148143668
299,140,-71.80375802,-36.64541168,CIREN,0-5 cm,1.4525124409671508
300,150,-73.21229202,-41.32970875,CIREN,0-5 cm,0.7954940565820262
301,120,-72.51929855,-37.63218008,CIREN,0-5 cm,1.217995795924475
302,120,-72.48994988,-38.59479625,CIREN,0-5 cm,1.0010626916486234
303,110,-72.61098144,-37.54665932,CIREN,0-5 cm,1.063812824828825
304,105,-72.35160779,-36.36958478,CIREN,0-5 cm,1.5066240521674354
305,95,-72.35371461,-36.37323803,CIREN,0-5 cm,1.4357857192204264
307,55,-72.75031032,-38.7496618,CIREN,0-5 cm,1.0142108877693825
310,120,-70.85175606,-34.20737608,CIREN,0-5 cm,1.6355507419656892
